City,Year,Latitude,Longitude
s.l. (Low Countries),1485-1490,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
Kirchheim in Elsass,1491,Unknown,Unknown
s.l. (Southern Netherlands),1479,Unknown,Unknown
s.l. (Low Countries),1477-1479,Unknown,Unknown
s.l. (Southern Netherlands),1500,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
Kirchheim in Elsass,1490,Unknown,Unknown
Lantenac,1487-1488,Unknown,Unknown
s.l. (Northern Netherlands),1470-1500,Unknown,Unknown
s.l. (Southern Netherlands),1477,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Low Countries),1490,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Southern Netherlands),1482-1487,Unknown,Unknown
s.l. (Low Countries),1486-1487,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Southern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1473,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
Kirchheim in Elsass,1490,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Northern Netherlands),1470-1500,Unknown,Unknown
Kirchheim in Elsass,1491,Unknown,Unknown
s.l. (Low Countries),1475-1479,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Southern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Low Countries),1475,Unknown,Unknown
s.l. (Low Countries),1476-1477,Unknown,Unknown
s.l. (Northern Netherlands),1471,Unknown,Unknown
s.l. (Northern Netherlands),1471,Unknown,Unknown
Lantenac,1491,Unknown,Unknown
s.l. (Low Countries),1488,Unknown,Unknown
s.l. (Northern Netherlands),1484-1486,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Low Countries),1475-1477,Unknown,Unknown
s.l. (Northern Netherlands),1473,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
Kirchheim in Elsass,1497,Unknown,Unknown
s.l. (Southern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1500-1650,Unknown,Unknown
s.l. (Southern Netherlands),1483-1484,Unknown,Unknown
s.l. (Northern Netherlands),1484-1486,Unknown,Unknown
s.l. (Southern Netherlands),1482-1487,Unknown,Unknown
s.l. (Southern Netherlands),1479,Unknown,Unknown
Kirchheim in Elsass,1489-1490,Unknown,Unknown
s.l. (Southern Netherlands),1498,Unknown,Unknown
s.l. (Low Countries),1475,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
Lantenac,1491,Unknown,Unknown
Lantenac,1487-1491,Unknown,Unknown
s.l. (Northern Netherlands),1483-1486,Unknown,Unknown
Lantenac,1492,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
Lantenac,1491,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
Lantenac,1494,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Northern Netherlands),1473,Unknown,Unknown
s.l. (Northern Netherlands),1483-1486,Unknown,Unknown
Lantenac,1487,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Southern Netherlands),1493,Unknown,Unknown
Lantenac,1487,Unknown,Unknown
s.l. (Low Countries),1500,Unknown,Unknown
s.l. (Northern Netherlands),1484-1486,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Northern Netherlands),1477,Unknown,Unknown
s.l. (Southern Netherlands),1487,Unknown,Unknown
s.l. (Northern Netherlands),1500,Unknown,Unknown
s.l. (Low Countries),1487,Unknown,Unknown
s.l. (Southern Netherlands),1465-1480,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Low Countries),1475-1479,Unknown,Unknown
s.l. (Northern Netherlands),1486-1487,Unknown,Unknown
s.l. (Low Countries),1475-1479,Unknown,Unknown
Fautsberg-Rheinstein,1477,Unknown,Unknown
Lantenac,1494,Unknown,Unknown
s.l. (Southern Netherlands),1477,Unknown,Unknown
s.l. (Low Countries),1488,Unknown,Unknown
Kirchheim in Elsass,1497,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Low Countries),1475-1477,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Southern Netherlands),1500,Unknown,Unknown
s.l. (Low Countries),1465-1480,Unknown,Unknown
s.l. (Northern Netherlands),1470,Unknown,Unknown
s.l. (Germany),1500,51.4619186,7.0179077
s.l. (Italy),1500,38.2064649,15.3051799
s.l. (France),1498,47.723588,7.3030666
s.l. (Germany),1499-1500,51.4619186,7.0179077
s.l. (Italy),1480,38.2064649,15.3051799
s.l. (Spain),1481,42.2165158,-8.7422565
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Germany),1480,51.4619186,7.0179077
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Italy),1497,38.2064649,15.3051799
s.l. (Germany),1500,51.4619186,7.0179077
s.l. (Unknown),1494,52.3866987,4.9236056
s.l. (England),1500,51.3996717,-0.3534052
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Italy),1500,38.2064649,15.3051799
s.l. (Unknown),1477,52.3866987,4.9236056
s.l. (France),1500,47.723588,7.3030666
s.l. (Spain),1492,42.2165158,-8.7422565
s.l. (Germany),1500,51.4619186,7.0179077
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (France),1494,47.723588,7.3030666
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Spain),1500,42.2165158,-8.7422565
s.l. (Unknown),1495,52.3866987,4.9236056
s.l. (Germany),1500,51.4619186,7.0179077
s.l. (France),1500,47.723588,7.3030666
s.l. (Unknown),1500,52.3866987,4.9236056
s.l. (France),1500,47.723588,7.3030666
s.l. (Italy),1480,38.2064649,15.3051799
s.l. (Italy),1492,38.2064649,15.3051799
s.l. (France),1474,47.723588,7.3030666
s.l. (Italy),1472,38.2064649,15.3051799
s.l. (France),1495,47.723588,7.3030666
s.l. (Unknown),1479,52.3866987,4.9236056
s.l. (France),1483,47.723588,7.3030666
s.l. (Unknown),1499,52.3866987,4.9236056
s.l. (France),1495,47.723588,7.3030666
s.l. (Portugal),1480,41.2186108,1.7116714
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (France),1499,47.723588,7.3030666
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1493,52.3866987,4.9236056
s.l. (Spain),1500-1700,42.2165158,-8.7422565
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Italy),1500,38.2064649,15.3051799
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1500,52.3866987,4.9236056
s.l. (Germany),1478,51.4619186,7.0179077
S.l. (Czechia),1500-1600,49.2402445,14.2116741
S.l. (Czechia),1500-1550,49.2402445,14.2116741
s.l. (France),1498,47.723588,7.3030666
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (France),1500,47.723588,7.3030666
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
S.l. (Czechia),1500-1550,49.2402445,14.2116741
s.l. (Spain),1493,42.2165158,-8.7422565
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1475,52.3866987,4.9236056
s.l. (Italy),1497,38.2064649,15.3051799
s.l. (France),1500,47.723588,7.3030666
s.l. (Italy),1474,38.2064649,15.3051799
s.l. (Italy),1496,38.2064649,15.3051799
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Portugal),1488,41.2186108,1.7116714
s.l. (France),1498,47.723588,7.3030666
s.l. (Unknown),1479,52.3866987,4.9236056
s.l. (France),1498,47.723588,7.3030666
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1500,52.3866987,4.9236056
s.l. (France),1500,47.723588,7.3030666
s.l. (Italy),1475,38.2064649,15.3051799
s.l. (France),1497,47.723588,7.3030666
s.l. (Spain),1491,42.2165158,-8.7422565
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Germany),1480-1490,51.4619186,7.0179077
s.l. (England),1495,51.3996717,-0.3534052
s.l. (Italy),1500,38.2064649,15.3051799
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (Unknown),1465-1480,52.3866987,4.9236056
s.l. (England),1490,51.3996717,-0.3534052
S.l. (Czechia),1500-1550,49.2402445,14.2116741
s.l. (Italy),1475,38.2064649,15.3051799
s.l. (Italy),1476,38.2064649,15.3051799
